names,lat,lon,geometry,,100000
Prestige Tranquility bangalore,129217000,775452000,POINT (77.743832 13.0655118),,
Smart Homz Blue Bells bangalore,129311000,775711000,POINT (77.7770002 12.7851117),,
Brigade Caladium bangalore,129107000,775849000,POINT (77.596732 13.0559515),,
S2 Homes The Water Grove bangalore,129200000,775474000,POINT (77.6871048 12.8368015),,
Assetz 63 Degree East bangalore,129166000,775455000,POINT (77.7047401 12.8853283),,
CoEvolve Northern Star bangalore,129244000,775618000,POINT (77.625001 13.081174),,
Purva Sunflower bangalore,129120000,775765000,POINT (77.5570922 12.9758193),,
Upkar Oakland bangalore,129247000,775562000,POINT (77.7622283 12.7813035),,
Sashank Advaith bangalore,129223000,775553000,POINT (77.6816863 12.8917332),,
SMD Altezz bangalore,129071000,775535000,POINT (77.75260729999999 12.99911),,
Chowriappa Constellation bangalore,129299000,775633000,POINT (77.6465134 13.0547139),,
The Phoenix Mills Kessaku bangalore,129240000,775506000,POINT (77.5536372 13.0107038),,
Orchid Greens bangalore,129277000,775495000,POINT (77.6554441 13.0879221),,
Embassy Boulevard bangalore,129335000,775703000,POINT (77.6389992 13.1479839),,
Century Breeze bangalore,129321000,775571000,POINT (77.6011008 13.0958355),,
The Phoenix Mills Kessaku bangalore,129160000,775731000,POINT (77.5536372 13.0107038),,
Prestige Royale Gardens bangalore,129288000,775633000,POINT (77.57063950000001 13.1395085),,
Brigade Panorama bangalore,129215000,775604000,POINT (77.45370779999999 12.8870631),,
SJR Palazza City bangalore,129071000,775574000,POINT (77.6984995 12.9046539),,
Garuda Vista bangalore,129171000,775801000,POINT (77.6867056 12.9852446),,
Sri Nandana Royal bangalore,129243000,775815000,POINT (77.70144359999999 12.8337182),,
Vaishnavi North 24 bangalore,129301000,775807000,POINT (77.59730499999999 13.052728),,
Prestige West Woods bangalore,129164000,775646000,POINT (77.5647402 12.9776982),,
Bren Champions Square bangalore,129145000,775569000,POINT (77.70859449999999 12.901324),,
Beverly Hills bangalore,130624000,775805000,POINT (77.5392322 12.8912793),,
Arge Helios bangalore,130336000,775851000,POINT (77.65153649999999 13.0654977),,
SOBHA Arena - The Park bangalore,130357000,775398000,POINT (77.53673999999999 12.8642033),,
GK Tropical Springs bangalore,130687000,776019000,POINT (77.7761359 12.9846992),,
Gravity Nakshatra bangalore,131073000,775536000,POINT (77.80411389999999 13.073371),,
Brigade Cosmopolis - Phase 1 & 2 bangalore,130295000,776053000,POINT (77.7461421 12.9621546),,
Gopalan Olympia bangalore,131098000,775782000,POINT (77.4501207 12.8753163),,
Legacy Cirocco bangalore,130791000,776067000,POINT (77.596148 13.087229),,
Vajram Tiara bangalore,130799000,776055000,POINT (77.5693818 13.1377116),,
Century Ethos bangalore,130807000,775439000,POINT (77.5950079 13.0616882),,
Frontier Heights bangalore,130887000,776062000,POINT (77.6756456 12.9055155),,
Whitestone Rosario bangalore,130376000,775768000,POINT (77.735935 13.013394),,
Casagrand Royce bangalore,130328000,775634000,POINT (77.7301136 13.0095427),,
Sowparnika Purple Rose bangalore,130667000,775362000,POINT (77.81143430000002 13.0996181),,
Casagrand Esmeralda bangalore,130473000,775652000,POINT (77.7668846 12.8356242),,
Mahaveer Zephyr bangalore,130569000,775415000,POINT (77.6193205 12.900891),,
Valmark Orchard Square bangalore,130496000,775824000,POINT (77.5860474 12.870642),,
Purva Highland bangalore,130526000,775433000,POINT (77.54460170000002 12.8539676),,
Vasathi Avante bangalore,131005000,775634000,POINT (77.62227829999999 13.0606229),,
Brigade Lakefront - Amber Block bangalore,130871000,775608000,POINT (77.7113528 12.9789932),,
Vajram Elina bangalore,130340000,775676000,POINT (77.63737279999999 13.0781),,
Gopalan Lake Front bangalore,130531000,775887000,POINT (77.6764512 12.8377608),,
Shriram Southern Crest bangalore,130534000,775896000,POINT (77.5723024 12.9058075),,
Bavisha Urban Homes bangalore,130350000,775674000,POINT (77.765354 12.8594994),,
Mantri Serenity bangalore,130986000,775628000,POINT (77.55137359999999 12.8869436),,
Salarpuria Sattva Misty Charm bangalore,130347000,775948000,POINT (77.5432976 12.8638771),,
Hara Vijaya Heights bangalore,131057000,775928000,POINT (77.526696 12.8634786),,
ELV KingsLand bangalore,130307000,775920000,POINT (77.7414335 12.9694606),,
MBR Shangri La bangalore,130931000,775483000,POINT (77.4926026 12.9218502),,
Keya Homes The Green Terraces bangalore,130538000,775833000,POINT (77.6563314 12.8220091),,
SNN Clermont bangalore,130893000,775997000,POINT (77.60939789999999 13.0412129),,
Mahaveer Turquoise bangalore,130542000,775939000,POINT (77.64419319999999 12.8672756),,
TATA The Promont bangalore,130857000,775513000,POINT (77.5367614 12.9208104),,
NVT Life Square bangalore,130586000,775907000,POINT (77.7639204 12.9754639),,
Ozone WF48 bangalore,130266000,775949000,POINT (77.69483219999999 12.9954655),,
Sobha Royal Pavilion bangalore,130542000,775577000,POINT (77.702125 12.8962858),,
Saiven Siesta bangalore,130255000,775516000,POINT (77.76833259999999 12.8888172),,
Salarpuria Sattva Northland bangalore,130763000,775596000,POINT (77.654127 13.082285),,
Legacy Eldora bangalore,130443000,775722000,POINT (77.62370799999999 13.102545),,
Pride Enchanta Phase II bangalore,131061000,775567000,POINT (77.5353712 12.9478889),,
Vriksha by Provident bangalore,130875000,775343000,POINT (77.48484119999999 12.9960104),,
Mahaveer Cygnet bangalore,130812000,775599000,POINT (77.61716299999999 13.1024979),,
Mahaveer Palatium bangalore,130299000,775621000,POINT (77.6143312 12.7579595),,
Sashank Aavaas bangalore,130376000,775752000,POINT (77.5473949 13.1041866),,
Brigade Woods bangalore,130630000,776018000,POINT (77.73385139999999 12.9783211),,
Vaishnavi Oasis bangalore,130422000,775660000,POINT (77.56383249999999 12.8735596),,
Bren Woods bangalore,131153000,775340000,POINT (77.6832261 12.8617047),,
KVG Grandeur bangalore,130439000,775554000,POINT (77.6900306 13.0274574),,
Godrej Air bangalore,130574000,775833000,POINT (77.71185009999999 12.9886656),,
Bhartiya City Nikoo Homes II bangalore,130565000,775392000,POINT (77.644525 13.085357),,
KVG Grandeur bangalore,130878000,775623000,POINT (77.6900306 13.0274574),,
Vaishnavi Oasis bangalore,130402000,775574000,POINT (77.56383249999999 12.8735596),,
NCN Swasthi bangalore,131038000,776046000,POINT (77.63059489999999 13.0187542),,
Godrej Air bangalore,130951000,775986000,POINT (77.71185009999999 12.9886656),,
Sashank Aavaas bangalore,131141000,775671000,POINT (77.5473949 13.1041866),,
L&T Raintree Boulevard bangalore,130844000,775855000,POINT (77.59079919999999 13.0690275),,
Aparna Elina bangalore,130845000,775365000,POINT (77.5518105 13.0200021),,
Eden and Serene at Brigade Cornerstone Utopia bangalore,130738000,775680000,POINT (77.74390529999999 12.9344677),,
Bren Woods bangalore,130616000,775360000,POINT (77.6832261 12.8617047),,
DNR Casablanca bangalore,130793000,775444000,POINT (77.6892331 12.9941357),,
Suvastu Oak Leaf bangalore,130854000,776056000,POINT (77.76020389999999 12.8810346),,
Mahaveer Horizon bangalore,130406000,775556000,POINT (77.708823 13.00245),,
DSMAX SKYCLASSIC bangalore,130425000,775744000,POINT (77.67089539999999 12.8178837),,
Godrej Reserve bangalore,130751000,775392000,POINT (77.71373059999999 13.2417155),,
GR Elysium 3 bangalore,130325000,775903000,POINT (77.75149519999999 13.0000972),,
DSMAX SKYSCAPE bangalore,131054000,775875000,POINT (77.6830226 13.0550595),,
Shri Sai Mounika Park Vesta bangalore,130294000,775565000,POINT (77.6487652 13.0415694),,
Mahindra Lifespace Windchimes Phase II bangalore,131007000,775994000,POINT (77.59768099999999 12.88624),,
Goyal Orchid Woods bangalore,130457000,775648000,POINT (77.6507041 13.0663138),,
Sai Charan Hill View bangalore,130776000,775671000,POINT (77.5148337 12.8904203),,
Prestige Kew Gardens bangalore,130935000,775899000,POINT (77.68094119999999 12.9481617),,
Deccan Habitat bangalore,130774000,775385000,POINT (77.545092 13.029479),,
Klassik Landmark Phase 2 bangalore,131046000,776064000,POINT (77.67757539999999 12.8956917),,
Sobha Morzaria Grandeur bangalore,130570000,775950000,POINT (77.6019266 12.9339158),,
Poorvi Shreenivasa Grand bangalore,130914000,775470000,POINT (77.537075 12.885729),,
DSMAX SAVERA bangalore,130649000,775589000,POINT (77.5403467 12.9060634),,
NVT Mystic Garden bangalore,130774000,775685000,POINT (77.7792542 12.7924016),,
GRC Subhiksha bangalore,130608000,775984000,POINT (77.68199389999999 12.8848843),,
Rohan Iksha bangalore,130454000,775811000,POINT (77.6990608 12.9266782),,
DNR Reflection bangalore,130892000,775517000,POINT (77.66866499999999 12.9240559),,
Vaishnavi Serene bangalore,130688000,776016000,POINT (77.5672242 13.1241534),,
